"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgweapons_engraved19110","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911",
"str_iz_cfgweapons_engraved19111","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","Poloautomatická pistole s municí dodávanou odnímatelným zásobníkem. Tento model se pyšní rytinou od neznámého umělce. Používá munici .45 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin. Diese Variante wurde von einem unbekannten Künstler mit einer Gravur versehen. Nutzt .45 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Эта модель имеет гравировку. Художник неизвестен. Использует патроны калибра .45 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Ta wersja została wygrawerowana przez nieznanego artystę. Strzela amunicją .45 ACP.","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Le incisioni di questa variante sono state realizzate da un artista sconosciuto. Utilizza munizioni calibro .45 ACP.","Una pistola semiautomática con cargador desmontable. Esta en concreto tiene un grabado de autor desconocido. Emplea proyectiles .45 ACP.","Un pistolet semi-automatique avec chargeur amovible de calibre .45 ACP. Cet exemplaire a été gravé par un artiste inconnu.","半自動步槍，使用可拆式彈匣送彈。這種版本上有著未知名藝術家的雕刻。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。この派生型は不明なアーティストによって刻印されている。.45 ACP 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. This variant had been engraved by an unknown artist. Uses .45 ACP rounds.","使用可拆卸弹匣送弹的半自动手枪。此变款经过一位不知名的艺术家雕刻。使用.45 ACP子弹。",

"str_iz_cfgweapons_colt19110","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911","Colt M1911",
"str_iz_cfgweapons_colt19111","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Poloautomatická pistole s municí dodávanou odnímatelným zásobníkem. Téměř sto let starý model, který se však v boji neztratí ani dnes. Používá munici .45 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin. Trotz seines bald einhundert Jahre alten Designs ist diese Waffe nach wie vor sehr beliebt. Nutzt .45 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Несмотря на то, что его конструкции почти сто лет, он превосходно справляется с задачей. Использует патроны калибра .45 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Zaprojektowany prawie wiek temu wciąż dobrze sprawdza się w walce. Strzela amunicją .45 ACP.","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Dal design quasi centenario, sa ancora farsi valere in combattimento. Utilizza munizioni calibro .45 ACP.","Una pistola semiautomática con cargador desmontable. Es un diseño de hace casi un siglo, pero sigue dándolo todo en combate. Emplea proyectiles .45 ACP.","Un pistolet semi-automatique avec chargeur amovible de calibre .45 ACP. Conçu il y a plus d'un siècle, il a néanmoins encore sa place dans votre arsenal.","半自動手槍，使用可拆卸式彈匣送彈。幾乎一個世紀的舊版設計，但依然頗具戰力。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。ほぼ 1 世紀前のデザインだが、今でも戦闘で活躍してくれる。.45 ACP 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Almost a century-old design, it can still hold its own in a fight. Uses .45 ACP rounds.","使用可拆卸弹匣送弹的半自动手枪。这款手枪设计于近一个世纪之前，但它在战斗中仍旧威风不减。使用.45 ACP子弹。",

"str_iz_cfgweapons_cz750","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75","CZ-75",
"str_iz_cfgweapons_cz751","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","Poloautomatická pistole. Munice dodávána odnímatelným zásobníkem. Díky dobré kvalitě a dostupné ceně je to velmi oblíbená zbraň. Používá munici 9x19 mm.","Halbautomatische Pistole mit abnehmbarem Magazin. Beliebt aufgrund ihrer guten Qualität und Erschwinglichkeit. Nutzt 9x19mm-Munition.","Полуавтоматический пистолет со съемным магазином. Популярен благодаря хорошему качеству и доступной цене. Использует патроны калибра 9x19 мм.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Popularny ze względu na stosunek ceny do jakości. Strzela amunicją 9x19 mm.","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","Pistola semiautomatica con alimentazione a caricatore estraibile. Popolare grazie alla buona qualità e al prezzo accessibile. Utilizza munizioni calibro 9x19 mm.","Pistola semiautomática que usa un cargador desmontable. Popular debido a su buena calidad y a su precio asequible. Usa proyectiles de 9x19 mm.","Un pistolet semi-automatique avec chargeur amovible de calibre 9x19 mm. Populaire en raison de son rapport qualité/prix avantageux.","半自動式手槍，以可拆卸的彈匣供彈。因為品質優良且價格低廉而廣受歡迎。使用 9x19mm 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。良質でお手頃価格なため人気。9x19mm 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Popular due to good quality and affordable price. Uses 9x19mm rounds.","从可拆卸弹匣送弹的半自动手枪。因物美价廉而深受欢迎。使用 9x19mm 子弹。",

"str_iz_cfgweapons_de0","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","Desert Eagle","沙漠之鹰","デザートイーグル","Desert Eagle","沙漠之鷹。",
"str_iz_cfgweapons_de1","Large, semi-automatic pistol, fed from a detachable magazine. Equipped with railed barrel, it hits way above its weight. Uses .357 rounds.","Large, semi-automatic pistol, fed from a detachable magazine. Equipped with railed barrel, it hits way above its weight. Uses .357 rounds.","Velká poloautomatická pistole s municí dodávanou odnímatelným zásobníkem. Zbraň je opatřena hlavní s lištou a dokáže napáchat daleko větší škody, než by se mohlo zdát. Používá munici .357.","Große, halbautomatische Pistole mit abnehmbarem Magazin und Schiene am Lauf. Diese Waffe ist wesentlich stärker als andere Pistolen. Nutzt .357-Munition.","Большой полуавтоматический пистолет со съемным магазином. Оснащен наствольной планкой и наносит сокрушительный урон. Использует патроны калибра .357.","Duży, półautomatyczny pistolet z zewnętrznym magazynkiem i lufą z szyną. Dysponuje pokaźną siłą rażenia jak na swoje gabaryty. Strzela amunicją .357.","Large, semi-automatic pistol, fed from a detachable magazine. Equipped with railed barrel, it hits way above its weight. Uses .357 rounds.","Pistola grande semi-automatica, con alimentazione mediante un caricatore estraibile. È dotata di una canna con scanalatura ed è molto potente per le sue dimensioni. Utilizza munizioni calibro .357.","Una gran pistola semiautomática que se alimenta de un cargador desmontable. Cuenta con un cañón con enganches e inflige un daño muy por encima de su peso. Usa proyectiles de .357.","Grand pistolet semi-automatique calibre .357 à chargeur amovible. Doté d'un canon à rail, son rapport poids/puissance est imbattable.","大型半自動手槍，使用可拆卸式彈匣供彈。配備有軌道槍管，且具有超乎意料的巨大傷害威力。。使用 .357 彈藥。","取り外し可能なマガジンから装填する、大きなセミオート式ピストル。レール付き銃身が取り付けられており、重量がはるかに重い物にも当たる。.357 の弾薬を使う。","Large, semi-automatic pistol, fed from a detachable magazine. Equipped with railed barrel, it hits way above its weight. Uses .357 rounds.","采用可拆卸弹匣送弹的大型半自动手枪。由于装备了轨道式枪管，具有与其外表不成比例的超大威力。使用 .357 子弹。",

"str_iz_cfgweapons_fnx450","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45","FNX-45",
"str_iz_cfgweapons_fnx451","Semi-automatic pistol, fed from a detachable magazine. Made in tactical variant. Uses .45 ACP rounds.","Semi-automatic pistol, fed from a detachable magazine. Made in tactical variant. Uses .45 ACP rounds.","Poloautomatická pistole. Munice dodávána odnímatelným zásobníkem. Vyrobeno v taktické variantě. Používá munici .45 ACP.","Halbautomatische Pistole mit abnehmbarem Magazin in taktischer Variante. Nutzt .45 ACP-Munition.","Полуавтоматический пистолет со съемным магазином. Тактическая модификация. Использует патроны калибра .45 ACP.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Wersja taktyczna. Strzela amunicją .45 ACP.","Semi-automatic pistol, fed from a detachable magazine. Made in tactical variant. Uses .45 ACP rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Realizzata nella variante tattica. Utilizza munizioni calibro .45 ACP.","Pistola semiautomática, alimentada por un cargador desmontable. Tiene una variante táctica. Usa proyectiles de .45 ACP.","Un pistolet semi-automatique avec chargeur amovible de calibre .45 ACP. Disponible en variante tactique.","半自動式手槍，以可拆卸的彈匣供彈。戰術型態。使用 .45 ACP 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。戦略バリエーションで作られている。.45 ACP 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Made in tactical variant. Uses .45 ACP rounds.","从可拆卸弹匣送弹的半自动手枪。战术型。使用 .45 ACP 子弹。",

"str_iz_cfgweapons_glock190","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19","Glock 19",
"str_iz_cfgweapons_glock191","Semi-automatic pistol, fed from a detachable magazine. Affordable and compact, it's very popular. Uses 9x19mm rounds.","Semi-automatic pistol, fed from a detachable magazine. Affordable and compact, it's very popular. Uses 9x19mm rounds.","Poloautomatická pistole. Munice dodávána odnímatelným zásobníkem. Díky kompaktním rozměrům a dostupné ceně je to velmi oblíbená zbraň. Používá munici 9x19 mm.","Halbautomatische Pistole mit abnehmbarem Magazin. Beliebt aufgrund ihrer guten Qualität und Erschwinglichkeit. Nutzt 9x19mm-Munition.","Полуавтоматический пистолет со съемным магазином. Популярен благодаря своей компактности и доступной цене. Использует патроны калибра 9x19 мм.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Niedrogi i małych rozmiarów, cieszy się dużą popularnością. Strzela amunicją 9x19 mm.","Semi-automatic pistol, fed from a detachable magazine. Affordable and compact, it's very popular. Uses 9x19mm rounds.","Pistola semiautomatica con alimentazione mediante un caricatore estraibile. Conveniente e compatta, è molto popolare. Utilizza munizioni calibro 9x19 mm.","Pistola semiautomática que usa un cargador desmontable. Muy popular gracias a su precio y a su tamaño compacto. Usa proyectiles de 9x19 mm.","Un pistolet semi-automatique avec chargeur amovible. Il est très populaire en raison de son excellent rapport qualité/prix. Il utilise des balles de calibre 9x19 mm.","半自動式手槍，以可拆卸的彈匣供彈。因為價格低廉且結構小巧而廣受歡迎。使用 9x19mm 子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。良質でお手頃価格なため人気。9x19mm 弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Affordable and compact, it's very popular. Uses 9x19mm rounds.","从可拆卸弹匣送弹的半自动手枪。价格便宜，小巧便携，广受欢迎。使用 9x19 毫米子弹。",

"str_iz_cfgweapons_longhorn0","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2","T/C Contender G2",
"str_iz_cfgweapons_longhorn1","Single shot break action hunting pistol. Sturdy and accurate at long ranges. Uses .308 WIN rounds.","Single shot break action hunting pistol. Sturdy and accurate at long ranges. Uses .308 WIN rounds.","Jednoranná lámací lovecká pistole. Odolná a přesná i na velké vzdálenosti. Používá munici .308 WIN.","Einzelschuss-Kipplauf-Jagdpistole. Stabil und genau auf große Distanzen. Nutzt .308 WIN-Munition.","Однозарядный охотничий пистолет с переломным затвором. Надежный и меткий на больших расстояниях. Использует патроны калибра .308 WIN.","Jednostrzałowy, łamany pistolet myśliwski. Wytrzymały i celny nawet na większych dystansach. Strzela amunicją .308 Win.","Single shot break action hunting pistol. Sturdy and accurate at long ranges. Uses .308 WIN rounds.","Pistola da caccia a canna basculante e colpo singolo, robusta e precisa su lunghe distanze. Utilizza munizioni calibro .308 WIN.","Pistola de caza de cañón basculante y un solo disparo. Férrea y precisa a larga distancia. Usa proyectiles de .308 WIN.","Pistolet de chasse à tir unique de calibre .308 Win. Solide, il reste précis sur de grandes distances.","單發中折式狩獵手槍。相當耐用，在長距離時非常準確。使用 .308 WIN 子彈。","単発中折式狩猟用ピストル。頑丈で長距離でも正確。.308 WIN 弾薬を使う。","Single shot break action hunting pistol. Sturdy and accurate at long ranges. Uses .308 WIN rounds.","单发折管式狩猎手枪。结实耐用，远程射击准确。使用 .308 WIN 子弹。",

"str_iz_cfgweapons_magnum0","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","Colt Python","科尔特 Python","コルトパイソン","Colt Python","科爾特 Python。",
"str_iz_cfgweapons_magnum1","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","Šestiranný revolver s dvojčinnou spouští. Ve srovnání s pistolemi se relativně pomalu nabíjí a vyžaduje častou údržbu. Výhodou ale je, že dokáže napáchat výjimečné škody na krátké i střední vzdálenosti. Používá munici .357.","Spannabzug-Revolver mit Sechs-Schuss-Trommel. Verglichen mit anderen Pistolen ist er relativ langsam nachzuladen und muss aufwendig gewartet werden. Dafür kann er verheerenden Schaden auf kurze bis mittlere Distanz verursachen. Nutzt .357-Munition.","Шестизарядный револьвер двойного действия. В сравнении с пистолетами он довольно медленно заряжается и требует частого ухода. Однако он может нанести внушительный урон на коротких и средних дистанциях. Использует патроны калибра .357.","Sześciostrzałowy rewolwer z mechanizmem spustowym z samonapinaniem. W porównaniu z pistoletami proces ładowania odbywa się dość powoli, a sam rewolwer wymaga częstej konserwacji. Rekompensuje to zaskakującą siłą rażenia na krótkim i średnim dystansie. Strzela amunicją .357.","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","Rivoltella a doppia azione a sei colpi. In confronto alle pistole, ha un caricamento piuttosto lento e richiede frequente manutenzione, ma infligge danni eccezionali da brevi a medie distanze. Utilizza munizioni calibro .357.","Revólver de doble acción de seis balas. En comparación con las pistolas, se tarda relativamente más en recargarlo y requiere un mantenimiento frecuente. Lo bueno es que puede infligir muchísimo daño a corta y media distancia. Usa proyectiles de .357.","Revolver double action à six coups de calibre .357. Plus lent à recharger et nécessitant plus d'entretien que les petits calibres, il inflige de terribles dégâts à courte et moyenne portée.","六發雙動式左輪手槍。相較於手槍，它速度較慢且需要經常維護。但卻能夠在短至中距離造成大量傷害。使用 .357 彈藥。","6 発複動式リボルバー。ピストルと比べて、装填が比較的遅く、頻繁なメンテナンスが必要になる。ただし、近距離から中距離において大きなダメージを与えることができる。.357 の弾薬を使う。","Six shot double-action revolver. Compared to pistols, it’s relatively slow to load and requires frequent maintenance. On the plus side, it can deliver exceptional damage at short to medium ranges. Uses .357 rounds.","六发双动式左轮手枪。与手枪相比，装弹较慢，且需要经常维护。优点是能对短距离到中等距离目标造成极大的损伤。使用 .357 子弹。",

"str_iz_cfgweapons_mkii0","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II","Ruger MK II",
"str_iz_cfgweapons_mkii1","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Poloautomatická pistole s integrovaným tlumičem. Munice dodávána odnímatelným zásobníkem. Jedná se o nenápadnou a na krátkou vzdálenost smrtelnou zbraň. Používá munici .22 LR.","Halbautomatische Pistole mit integriertem Schalldämpfer und abnehmbarem Magazin. Leise und tödlich auf kurze Distanz. Nutzt .22 LR-Munition.","Полуавтоматический пистолет с интегрированным глушителем и съемным магазином. Скрытный и смертельно опасный на близком расстоянии. Использует патроны 22LR.","Półautomatyczny pistolet z wbudowanym tłumikiem i magazynkiem zewnętrznym. Cichy i zabójczy na krótkim dystansie. Strzela amunicją .22 LR.","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","Pistola semi-automatica completamente silenziata e alimentata mediante un caricatore estraibile. Arma furtiva e letale a corto raggio. Utilizza munizioni calibro .22 LR.","Pistola semiautomática y completamente silenciada, que usa un cargador desmontable. Sigilosa y letal a corta distancia. Usa proyectiles .22 LR.","Pistolet semi-automatique avec silencieux, alimenté grâce à un magazine amovible. Discret et létal à courte portée. Utilise des balles de calibre .22LR.","內部消音的半自動式手槍，以可拆卸的彈匣供彈。隱蔽性強，殺傷距離短。使用 .22LR 子弹。","取り外し可能なマガジンから装填する、セミオート式消音ピストル。ステルス性と近距離においての高い殺傷能力がある。.22 LR 弾薬を使う。","Semi-automatic, integrally-suppressed pistol, fed from a detachable magazine. Stealthy and lethal at short range. Uses .22 LR rounds.","从可拆卸弹匣送弹的整合式声音抑制半自动手枪。隐蔽性强，杀伤距离短。使用 .22LR 子弹。",

	"str_iz_cfgweapons_p10","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol","P1 Pistol",
	"str_iz_cfgweapons_p11","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.","P1 was the first locked-breech pistol to use a double-action/single-action. The shooter can chamber a round, use the de-cocking lever to safely lower the hammer without firing the round and carry the weapon loaded.",

	"str_iz_cfgweapons_makarovpb0","Makarov PB-6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9","Makarov PB 6P9",
	"str_iz_cfgweapons_makarovpb1","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.","A compact, easy to operate, and highly accurate, suppressed pistol which was based on the Makarov pistol design.",

"str_iz_cfgweapons_makarovij700","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Макаров ИЖ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70","Makarov IJ-70",
"str_iz_cfgweapons_makarovij701","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 Auto rounds.","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 Auto rounds.","Poloautomatická pistole. Munice dodávána odnímatelným zásobníkem. Masově vyráběna. Používá standardní munici .380 Auto.","Halbautomatische Pistole mit abnehmbarem Magazin, die in Massenfertigung hergestellt wird. Nutzt standardisierte .380 Automatik-Munition.","Полуавтоматический пистолет со съемным магазином. Производится в больших количествах. Использует стандартные патроны .380 Auto.","Półautomatyczny pistolet z zewnętrznym magazynkiem. Produkowany masowo. Strzela standardową amunicją .380.","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 Auto rounds.","Pistola semi-automatica con alimentazione mediante un caricatore estraibile. Prodotta in grandi quantità. Utilizza munizioni calibro .380 Auto.","Pistola semiautomática que usa un cargador desmontable. Se fabrica de manera industrial y usa proyectiles básicos de .380.","Un pistolet semi-automatique avec chargeur amovible de calibre 380 ACP. Arme très commune.","半自動式手槍，以可拆卸的彈匣供彈。大量生產的成品。使用 .380 標準自動子彈。","取り外し可能なマガジンから装填する、セミオート式ピストル。大量生産された。標準の .380 オート弾薬を使う。","Semi-automatic pistol, fed from a detachable magazine. Produced in large quantities. Uses standard .380 Auto rounds.","从可拆卸弹匣送弹的半自动手枪。大量生产。使用标准的 .380 子弹。",

	"str_iz_cfgweapons_red90","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96","Mauser C96",
	"str_iz_cfgweapons_red91","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.","World War 1 era pistol with integral 10 round magazine.",
